customer_id,segment,region,industry,acquisition_channel,account_manager_id,current_mrr,concentration_weight,renewal_due_flag,churn_risk_score,churn_risk_tier,churn_risk_main_driver,revenue_quality_score,revenue_quality_risk_tier,revenue_quality_main_driver,discount_dependency_score,discount_dependency_tier,discount_dependency_main_driver,expansion_quality_score,expansion_quality_risk_tier,expansion_quality_main_driver,governance_priority_score,governance_priority_tier,governance_main_driver,recommended_action,recommended_action_reason,forward_risk_flags
CUST004130,Enterprise,North America,Logistics,enterprise_sales,AM0008,33422.9,0.003509,1,61.13,High,Sentiment/support deterioration,19.453,Critical,Weak realized pricing,100.0,Critical,High discount level,17.8,Critical,Low healthy expansion mix,77.413,Critical,Churn risk pressure,reprice at renewal,"Critical priority driven by Churn risk pressure; churn=61.1, quality=19.5, discount=100.0","usage_declining, low_nps, payment_delay_stress, discount_dependency, renewal_at_risk"
CUST000063,Mid-Market,LATAM,Education,enterprise_sales,AM0013,1242.86,0.000131,1,62.853,High,Usage deterioration,17.373,Critical,Weak realized pricing,99.353,Critical,High discount level,23.4,Critical,Low healthy expansion mix,72.178,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=62.9, quality=17.4, discount=99.4","low_nps, discount_dependency, renewal_at_risk"
CUST003812,SMB,EMEA,Retail,self_serve,AM0030,301.55,3.2e-05,1,66.481,High,Usage deterioration,17.971,Critical,Weak realized pricing,94.701,Critical,High discount level,8.208,Critical,Low healthy expansion mix,71.474,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=66.5, quality=18.0, discount=94.7","usage_declining, low_nps, payment_delay_stress, discount_dependency, renewal_at_risk"
CUST004167,Enterprise,APAC,Manufacturing,outbound_sdr,AM0005,17819.01,0.001871,1,47.266,Moderate,Discount pressure,21.003,Critical,Weak realized pricing,99.138,Critical,High discount level,22.6,Critical,Low healthy expansion mix,70.784,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=47.3, quality=21.0, discount=99.1","low_nps, discount_dependency, renewal_at_risk"
CUST003233,SMB,North America,FinTech,self_serve,AM0004,662.3,7e-05,1,71.22,High,Usage deterioration,13.136,Critical,Weak realized pricing,85.0,Critical,High discount level,40.23714285714286,High,No recent expansion signal,70.659,High,Churn risk pressure,prepare renewal intervention,"High priority driven by Churn risk pressure; churn=71.2, quality=13.1, discount=85.0","usage_declining, low_nps, discount_dependency, renewal_at_risk"
CUST000998,SMB,EMEA,Healthcare,self_serve,AM0025,202.6,2.1e-05,1,71.317,High,Payment stress,8.043,Critical,Weak realized pricing,85.0,Critical,High discount level,37.857142857142854,High,No recent expansion signal,70.614,High,Churn risk pressure,prepare renewal intervention,"High priority driven by Churn risk pressure; churn=71.3, quality=8.0, discount=85.0","low_nps, payment_delay_stress, discount_dependency, renewal_at_risk, high_risk_score"
CUST003615,SMB,EMEA,Retail,self_serve,AM0030,1634.39,0.000172,0,62.626,High,Usage deterioration,18.552,Critical,Weak realized pricing,100.0,Critical,High discount level,1.2,Critical,Low healthy expansion mix,70.189,High,Churn risk pressure,review discount policy,"High priority driven by Churn risk pressure; churn=62.6, quality=18.6, discount=100.0","usage_declining, low_nps, payment_delay_stress, discount_dependency"
CUST001183,SMB,EMEA,Retail,partner_referral,AM0009,520.29,5.5e-05,1,62.159,High,Usage deterioration,20.253,Critical,Weak realized pricing,98.664,Critical,High discount level,22.666,Critical,Low healthy expansion mix,69.92,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=62.2, quality=20.3, discount=98.7","usage_declining, low_nps, discount_dependency, renewal_at_risk"
CUST000766,Enterprise,North America,SaaS,outbound_sdr,AM0032,11911.55,0.001251,0,56.191,High,Usage deterioration,16.015,Critical,Weak realized pricing,100.0,Critical,High discount level,23.0,Critical,Low healthy expansion mix,69.873,High,Churn risk pressure,review discount policy,"High priority driven by Churn risk pressure; churn=56.2, quality=16.0, discount=100.0","low_nps, payment_delay_stress, discount_dependency"
CUST001430,SMB,North America,Healthcare,self_serve,AM0010,322.99,3.4e-05,1,61.119,High,Usage deterioration,14.877,Critical,Weak realized pricing,97.476,Critical,High discount level,23.594,Critical,Low healthy expansion mix,69.688,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=61.1, quality=14.9, discount=97.5","low_nps, discount_dependency, renewal_at_risk"
CUST003912,Mid-Market,North America,Retail,content_marketing,AM0011,3850.28,0.000404,1,60.492,High,Usage deterioration,15.314,Critical,Weak realized pricing,85.0,Critical,High discount level,42.62,High,No recent expansion signal,69.626,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=60.5, quality=15.3, discount=85.0","low_nps, discount_dependency, renewal_at_risk"
CUST000206,SMB,APAC,Retail,outbound_sdr,AM0024,277.81,2.9e-05,1,70.795,High,Usage deterioration,12.358,Critical,Weak realized pricing,85.0,Critical,High discount level,40.23714285714286,High,No recent expansion signal,69.353,High,Churn risk pressure,prepare renewal intervention,"High priority driven by Churn risk pressure; churn=70.8, quality=12.4, discount=85.0","usage_declining, low_nps, payment_delay_stress, discount_dependency, renewal_at_risk"
CUST000612,Mid-Market,EMEA,Logistics,outbound_sdr,AM0009,4197.12,0.000441,1,51.402,Moderate,Usage deterioration,21.491,Critical,Weak realized pricing,99.901,Critical,High discount level,22.6,Critical,Low healthy expansion mix,68.959,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=51.4, quality=21.5, discount=99.9","low_nps, discount_dependency"
CUST001915,Mid-Market,EMEA,Healthcare,enterprise_sales,AM0030,1139.88,0.00012,1,58.916,High,Usage deterioration,23.021,Critical,Weak realized pricing,94.823,Critical,High discount level,28.75,High,Low healthy expansion mix,68.086,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=58.9, quality=23.0, discount=94.8","usage_declining, low_nps, discount_dependency, renewal_at_risk"
CUST001374,Enterprise,North America,Logistics,outbound_sdr,AM0019,10879.32,0.001142,1,47.707,Moderate,Usage deterioration,24.379,Critical,Weak realized pricing,92.359,Critical,High discount level,26.932,High,Low healthy expansion mix,67.861,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=47.7, quality=24.4, discount=92.4","low_nps, discount_dependency, renewal_at_risk"
CUST003437,SMB,APAC,Manufacturing,paid_media,AM0024,556.86,5.8e-05,1,67.065,High,Usage deterioration,15.649,Critical,Weak realized pricing,75.643,Critical,High discount level,40.23714285714286,High,No recent expansion signal,67.259,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=67.1, quality=15.6, discount=75.6","usage_declining, low_nps, discount_dependency, renewal_at_risk"
CUST002629,SMB,North America,Manufacturing,paid_media,AM0019,776.65,8.2e-05,1,60.458,High,Usage deterioration,15.166,Critical,Weak realized pricing,81.996,Critical,High discount level,42.62,High,No recent expansion signal,66.541,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=60.5, quality=15.2, discount=82.0","low_nps, discount_dependency, renewal_at_risk"
CUST004307,SMB,EMEA,Manufacturing,self_serve,AM0027,1238.44,0.00013,1,57.584,High,Usage deterioration,16.007,Critical,Weak realized pricing,85.0,Critical,High discount level,42.62,High,No recent expansion signal,66.381,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=57.6, quality=16.0, discount=85.0","low_nps, discount_dependency, renewal_at_risk"
CUST003462,Mid-Market,EMEA,Retail,outbound_sdr,AM0003,2928.79,0.000308,1,57.667,High,Usage deterioration,16.677,Critical,Weak realized pricing,73.572,High,High discount level,40.23714285714286,High,No recent expansion signal,66.35,High,Churn risk pressure,prepare renewal intervention,"High priority driven by Churn risk pressure; churn=57.7, quality=16.7, discount=73.6","low_nps, discount_dependency, renewal_at_risk"
CUST004249,SMB,North America,Media,paid_media,AM0012,1202.73,0.000126,1,56.623,High,Usage deterioration,16.519,Critical,Weak realized pricing,85.0,Critical,High discount level,42.62,High,No recent expansion signal,66.036,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=56.6, quality=16.5, discount=85.0","low_nps, discount_dependency, renewal_at_risk"
CUST002101,Mid-Market,LATAM,Media,outbound_sdr,AM0029,991.41,0.000104,1,58.842,High,Usage deterioration,15.854,Critical,Weak realized pricing,82.329,Critical,High discount level,42.62,High,No recent expansion signal,65.621,High,Churn risk pressure,review account manager behavior,"High priority driven by Churn risk pressure; churn=58.8, quality=15.9, discount=82.3","low_nps, discount_dependency"
CUST004190,SMB,North America,Manufacturing,self_serve,AM0034,414.91,4.4e-05,1,66.256,High,Usage deterioration,18.674,Critical,Weak realized pricing,76.396,Critical,High discount level,42.62,High,No recent expansion signal,65.422,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=66.3, quality=18.7, discount=76.4","usage_declining, low_nps, discount_dependency, renewal_at_risk"
CUST000488,Enterprise,EMEA,Retail,enterprise_sales,AM0038,36215.57,0.003803,0,49.546,Moderate,Sentiment/support deterioration,18.517,Critical,Weak realized pricing,85.0,Critical,High discount level,45.0,High,No recent expansion signal,65.053,High,Exposure concentration,review discount policy,"High priority driven by Exposure concentration; churn=49.5, quality=18.5, discount=85.0","low_nps, payment_delay_stress, discount_dependency"
CUST001956,SMB,North America,Media,paid_media,AM0020,1271.88,0.000134,1,56.084,High,Usage deterioration,18.605,Critical,Weak realized pricing,85.0,Critical,High discount level,45.0,High,No recent expansion signal,64.978,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=56.1, quality=18.6, discount=85.0","low_nps, discount_dependency, renewal_at_risk"
CUST001640,SMB,EMEA,SaaS,paid_media,AM0038,1217.56,0.000128,1,55.384,High,Usage deterioration,18.486,Critical,Weak realized pricing,85.0,Critical,High discount level,45.0,High,No recent expansion signal,64.828,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=55.4, quality=18.5, discount=85.0","low_nps, discount_dependency, renewal_at_risk"
CUST002060,SMB,North America,Logistics,self_serve,AM0029,375.2,3.9e-05,1,63.278,High,Usage deterioration,18.505,Critical,Weak realized pricing,76.165,Critical,High discount level,42.62,High,No recent expansion signal,64.509,High,Churn risk pressure,review account manager behavior,"High priority driven by Churn risk pressure; churn=63.3, quality=18.5, discount=76.2","low_nps, discount_dependency, renewal_at_risk"
CUST003575,SMB,LATAM,SaaS,content_marketing,AM0035,261.03,2.7e-05,1,64.844,High,Usage deterioration,18.978,Critical,Weak realized pricing,73.599,High,High discount level,42.62,High,No recent expansion signal,64.342,High,Churn risk pressure,prepare renewal intervention,"High priority driven by Churn risk pressure; churn=64.8, quality=19.0, discount=73.6","low_nps, discount_dependency, renewal_at_risk"
CUST003743,Mid-Market,EMEA,FinTech,enterprise_sales,AM0014,1772.46,0.000186,0,58.808,High,Usage deterioration,12.197,Critical,Weak realized pricing,85.0,Critical,High discount level,37.857142857142854,High,No recent expansion signal,64.319,High,Churn risk pressure,review account manager behavior,"High priority driven by Churn risk pressure; churn=58.8, quality=12.2, discount=85.0","low_nps, discount_dependency"
CUST002413,SMB,APAC,Healthcare,partner_referral,AM0002,995.25,0.000105,1,58.277,High,Usage deterioration,18.645,Critical,Weak realized pricing,73.748,High,High discount level,42.62,High,No recent expansion signal,64.263,High,Churn risk pressure,prepare renewal intervention,"High priority driven by Churn risk pressure; churn=58.3, quality=18.6, discount=73.7","low_nps, discount_dependency, renewal_at_risk"
CUST003727,Mid-Market,APAC,Retail,content_marketing,AM0005,1192.91,0.000125,1,55.715,High,Usage deterioration,19.63,Critical,Weak realized pricing,83.928,Critical,High discount level,45.0,High,No recent expansion signal,64.226,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=55.7, quality=19.6, discount=83.9","usage_declining, low_nps, discount_dependency"
